peak.id	CRX_Corbo	N50	HDmono	HDdimer	NRL	AP1
peak.1342	3	0	2	0	1	0
peak.1343	1	0	1	1	0	2
peak.1344	2	0	1	0	0	0
peak.1345	3	0	1	0	1	0
peak.1346	1	0	1	0	1	0
peak.1347	1	0	0	0	4	0
peak.1348	2	0	2	0	1	1
peak.1349	3	4	3	0	0	1
peak.135	3	0	2	0	1	0
peak.1350	2	0	2	0	1	0
peak.1351	3	0	2	0	0	0
peak.1352	3	0	3	0	2	0
peak.1353	3	1	2	0	1	2
peak.1354	1	0	2	1	2	0
peak.1355	2	0	2	0	1	1
peak.1356	3	1	3	0	0	0
peak.1357	1	0	0	1	2	0
peak.1358	1	1	1	0	0	2
peak.1359	0	0	0	0	0	0
peak.136	1	1	1	0	1	0
peak.1360	3	0	3	0	0	1
peak.1361	2	0	2	0	1	0
peak.1362	1	0	1	0	0	2
peak.1363	1	0	1	0	0	0
peak.1364	1	1	2	0	1	0
peak.1365	0	0	0	0	0	1
peak.1366	0	0	0	0	0	0
peak.1367	2	1	2	0	0	1
peak.1368	2	3	1	0	0	0
peak.1369	0	0	0	0	0	0
peak.137	0	0	0	1	1	0
peak.1370	1	0	1	0	0	0
peak.1371	0	0	0	0	0	0
peak.1372	0	0	0	0	0	1
peak.1373	0	0	0	0	0	0
peak.1374	0	4	0	0	2	0
peak.1375	6	4	4	0	2	3
peak.1376	0	0	0	0	0	0
peak.1377	0	1	0	0	0	0
peak.1378	0	0	0	1	0	0
peak.1379	0	0	0	1	2	0
peak.138	0	1	0	0	0	1
peak.1380	0	0	0	0	0	0
peak.1381	0	0	0	0	0	0
peak.1382	2	0	1	0	0	0
peak.1383	2	1	2	0	0	0
peak.1384	0	1	0	1	0	0
peak.1385	1	0	0	0	3	0
peak.1386	0	0	1	0	1	0
peak.1387	0	0	0	0	0	0
peak.1388	2	1	1	0	1	2
peak.1389	0	0	0	0	0	0
peak.139	1	0	1	0	1	0
peak.1390	0	0	0	1	1	0
peak.1391	2	0	2	0	1	0
peak.1392	0	0	0	0	0	0
peak.1393	1	1	1	0	0	0
peak.1394	1	0	2	1	1	1
peak.1395	0	0	0	0	0	1
peak.1396	0	0	0	0	0	2
peak.1397	0	0	0	0	0	0
peak.1398	1	2	1	0	0	0
peak.1399	0	0	0	0	0	1
peak.14	1	0	1	0	0	0
peak.140	2	0	2	0	0	0
peak.1400	0	0	1	0	0	0
peak.1401	2	0	1	0	0	0
peak.1402	2	0	1	0	2	2
peak.1403	0	1	0	2	0	0
peak.1404	0	0	0	0	2	0
peak.1405	3	2	3	0	0	1
peak.1406	2	0	4	0	0	1
peak.1407	2	0	2	0	3	2
peak.1408	1	1	2	1	1	0
peak.1409	3	1	1	1	0	0
peak.141	2	0	1	0	1	1
peak.1410	1	0	1	0	2	1
peak.1411	2	0	2	0	0	1
