label	CRX_Corbo	VSX2.MA0726.1	RAX2.MA0717.1	VSX2_e14.5.MEME-1	E80A_atacLost.MEME-19	K88N_atacGain.STREME-1	K88N_chipGain.MEME.1	RORB_HUMAN.MA1150.1	NRL_HUMAN.MA0842.1	Nr2e3_MOUSE.MA0164.1	GFI1_MOUSE.H11MO.0.C	PRDM1.MA0508.2	PRDM1.MA0508.3	NEUROD1_HUMAN.MA1109.1	ASCL1_HUMAN.MA1100.1	ATOH7_HUMAN.MA1468.1	Bhlhe40_MOUSE.MA0464.1
peak.31	0.10852846800859024	9.114243498313104e-06	2.215592005162021e-05	1.0035900766963629e-13	3.32105087680107e-13	1.7484168886699618e-14	2.8493165822635933e-19	1.241910106657846e-06	6.325243181951215e-08	6.1657384537947665e-06	1.421578081232646e-10	7.67944783902113e-08	6.213879393471454e-05	3.637003028085804e-05	2.0886999851883786e-08	3.1732796417333325e-07	1.3588409445256546e-14
peak.32	0.0002812758983882365	0.5257530285664443	0.16306425156084764	0.5249791874807487	2.2341302958644284e-05	8.580566987752654e-07	1.68436731820074e-06	1.4832462732287644e-09	1.0237432605817747e-06	6.69122163062003e-11	4.351371838001917e-06	9.006134928406848e-16	1.8516755760022524e-09	7.801619754885106e-11	3.2266274343943964e-07	3.8522896580285423e-10	2.4312960366596738e-21
peak.33	0.45722454550844654	0.0005021709015386289	1.2377736849921997e-05	1.8735909191852006e-12	8.987212862004834e-14	4.936840906560819e-16	6.4269432638748646e-24	1.7657219390482963e-06	2.7460347956871015e-07	2.7137849694193647e-10	6.539685297176226e-10	1.9555298481369576e-10	2.2623597398063056e-08	1.8949214729972956e-09	1.832355306940242e-05	1.764803530303715e-08	2.0035694470562636e-22
peak.34	0.5314538980385162	0.00010264374950191211	0.0013498576399027112	2.992884815808787e-13	1.488957864575636e-10	1.3865283676493621e-09	3.8889728579425847e-17	5.504393255455105e-07	2.6393343894539936e-05	6.338411839692577e-14	1.6545971620209404e-09	6.46765987371646e-12	4.917941147054981e-08	5.253763199828244e-10	3.307365434850466e-09	6.858986784274948e-09	1.0225446931090687e-14
peak.35	0.06574811869820793	1.2490273329391498e-09	3.1380394503367965e-07	3.0492239455581453e-18	6.202100773874649e-18	6.896764635243515e-18	4.630738819063032e-28	2.1448638672475842e-06	1.1343019130853872e-08	3.1659506613614806e-12	4.805191622117163e-12	1.2277669849981582e-17	1.950005307287848e-08	5.504033480651064e-11	3.0471646801867602e-09	5.374639876037254e-11	2.325496588985869e-13
peak.36	0.22076082881278988	3.003163298188289e-08	7.801154816384635e-06	4.361499169248323e-14	4.5343931039353475e-08	8.75611025754972e-14	3.5113758090292753e-15	4.318645080417883e-08	2.330366827875082e-06	1.9046735292738826e-10	7.895563860604616e-05	6.280301452436179e-13	7.088841072069322e-07	1.2793170829703893e-09	1.9114162762026865e-08	0.00030911344322551984	6.887401725386411e-06
peak.37	0.018148343590932207	3.836317695851255e-06	0.0001433861816400901	1.1604479641752928e-14	3.086303736271982e-07	4.030502556406882e-09	2.0175586982248982e-10	1.6711670394243794e-08	1.3183303594855544e-07	5.142692391448583e-11	1.6904649378897594e-07	4.926292658258748e-11	2.7927332188853338e-05	4.041638121975415e-08	4.0166230544522635e-09	3.3092241816238026e-13	1.6426128602212068e-22
peak.38	0.36916556460854727	4.89423844516302e-07	2.7479913364084786e-05	1.3626581341193616e-18	1.4949922014682883e-12	9.812215931193515e-12	1.2442647283407057e-13	3.668733251748449e-08	2.657870583519556e-06	4.2920199615750035e-20	2.6876569699662616e-05	1.093469739491213e-11	9.999234467044606e-11	1.0144372599594363e-08	0.0032199622761191864	6.413670240797192e-08	5.731331741718101e-14
peak.39	0.0049373562083801	2.802752952910378e-08	2.7983402430683542e-06	2.261752406897851e-15	2.0343962707475738e-05	9.639175443889302e-13	6.087491343720809e-18	2.9953347549425457e-07	1.5693711554478754e-05	0.17979303916364986	1.1168399919893067e-10	1.2302710544903184e-12	1.374324493955489e-09	1.6773685783002377e-12	2.615249068322027e-14	4.4786231561820255e-11	2.148199540241501e-16
peak.40	5.9212691293653894e-05	1.1992503154319703e-06	7.551532039884579e-05	2.0481914071506263e-14	4.784698151333435e-16	2.933969558884258e-13	6.312735805204619e-19	3.744628400232217e-09	4.337934162273895e-07	0.08058322441954072	0.0016749430856701935	2.6544412001130667e-09	0.0006750185367066482	3.180694575186027e-10	5.3663809563013686e-11	9.841779247571512e-08	0.00017525973374517962
peak.41	0.0013772644276956948	0.0021775229062861224	0.07376715354180402	7.297086551942705e-08	1.2536991324700343e-09	0.0005150219857157045	2.870450537877428e-08	2.761430623884746e-07	1.0016467085682923e-06	2.5602336840000418e-20	3.495174754379965e-13	5.7103898933799324e-12	2.9427376537178375e-10	4.174409458607256e-11	6.954457671023266e-17	4.039649659456245e-11	2.126714532285458e-21
peak.42	0.5262679425035203	0.00023661290437657867	0.003392209970330224	4.651240472116336e-07	2.3081579646600716e-07	6.527349464514721e-12	5.786322567732069e-13	1.4749034403459186e-07	5.001760743879287e-06	1.7672498191835754e-10	7.895564253129054e-05	4.17491387481109e-12	2.5930639916234354e-08	1.9972360702267053e-08	2.145422459822668e-10	0.042324176707136396	9.347961640765867e-07
peak.43	0.00908542317404221	0.0027841777878893624	0.04652436950961978	1.8618529637020236e-09	1.1207608887348887e-13	1.6605276975850503e-12	2.608084078254924e-18	5.268735793644747e-08	9.94493990092831e-06	1.4292281843264567e-10	0.00020119200646828668	2.282005682849306e-09	6.627829415600392e-07	1.173327676008014e-11	1.614040175492725e-13	1.0394595445197859e-10	0.0005516393037473848
peak.44	0.5538986226692476	3.0202300684666274e-07	1.7138092654334133e-05	9.901967217225862e-15	1.613262160526011e-08	2.229778190534561e-12	6.25906756830728e-20	4.3392798476141645e-06	0.023895999838050887	2.6821254616768146e-10	1.7506943146951907e-09	4.508836774079739e-15	8.916282780688317e-10	1.113554810455837e-06	4.885260931787868e-09	1.4101797088668657e-08	1.8878773238166854e-06
peak.45	0.34183552110772236	0.0002316248300210499	0.0012883827059907483	1.3565805663985282e-11	2.38777725857542e-10	1.359839837876965e-10	3.8698450979557017e-17	6.112417518773217e-07	8.790624342321361e-06	4.2675631523712084e-10	9.148661443542327e-09	2.0481148420818195e-16	4.412065030813623e-12	0.00010225471790412924	0.5249810904569138	1.1072701753255444e-05	8.590850153086573e-16
